time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
Januari,30.611,142.0702,10,4.4,mb,5.32064,128,3.149,0.7,us
Januari,33.4333,141.4589,10,4.6,mb,5.41464,118,1.414,1.04,us
Januari,38.7475,142.3096,53.82,4,mb,5.16,142,2.253,0.89,us
Januari,43.6306,138.7964,250.43,4.1,mb,5.19674,37,2.788,0.47,us
Januari,32.4746,141.7225,10,4.5,mb,5.3665,102,4.784,1.16,us
Januari,33.0845,140.15,92.21,4.1,mb,5.19674,137,0.309,0.69,us
Januari,32.6042,141.6235,10,4.8,mb,5.51776,72,1.631,0.78,us
Januari,39.8411,143.3322,26.75,4.9,mb,5.57274,135,1.975,0.75,us
Januari,34.3996,136.3146,365.25,3.9,mb,5.12554,69,1.115,0.53,us
Januari,30.8369,141.8286,10,4.1,mb,5.19674,144,2.844,0.95,us
Januari,41.5746,141.3005,94.92,4.4,mb,5.32064,115,0.804,1.16,us
Januari,37.6083,144.9439,10,4.3,mb,5.27706,119,4.378,0.71,us
Januari,37.8559,142.6165,34.87,4.6,mb,5.41464,134,3.167,0.54,us
Januari,37.767,141.6933,43.85,4.5,mb,5.3665,137,3.04,0.71,us
Januari,43.7004,139.9863,214,5.9,mww,5.9,22,1.929,0.72,us
Januari,33.309,138.2825,300.43,4.2,mb,5.23576,52,1.272,0.55,us
Januari,43.6204,140.0388,219.16,4.1,mb,5.19674,50,1.913,0.48,us
Januari,35.5941,141.7713,10,4.4,mb,5.32064,168,2.955,0.56,us
Januari,33.1696,138.4598,283.7,4.1,mb,5.19674,59,1.111,0.86,us
Januari,38.9732,144.4559,10,4.2,mb,5.23576,209,3.177,0.81,us
Januari,42.4632,143.2444,62.59,4.8,mb,5.51776,133,0.452,0.65,us
Januari,33.867,137.213,359.74,5.2,mww,5.2,55,1.139,0.55,us
Januari,42.1878,144.2355,22.64,4.3,mb,5.27706,101,0.82,0.83,us
Januari,39.5738,142.8803,52.62,4.6,mb,5.41464,151,1.846,0.39,us
Januari,37.5695,139.6771,136.69,4.3,mb,5.27706,115,1.559,0.72,us
Januari,36.7159,142.2335,31.81,4.4,mb,5.32064,135,3.241,0.76,us
Januari,32.5733,138.2714,325.99,4.2,mb,5.23576,123,2.955,0.43,us
Januari,36.6565,141.8259,35.67,4.6,mb,5.41464,130,2.912,0.85,us
Januari,30.5608,141.7793,8.21,4.4,mb,5.32064,122,3.064,1,us
Januari,39.0024,141.9751,59.32,4.4,mb,5.32064,116,1.917,0.8,us
Januari,30.56,141.97,10,4.4,mb,5.32064,145,3.139,0.66,us
Januari,30.2979,140.1535,105.77,4.5,mb,5.3665,108,2.823,0.71,us
Januari,35.6157,140.1848,63.91,4.4,mb,5.32064,101,1.848,0.73,us
Januari,37.34,141.4716,36.16,4.6,mb,5.41464,154,1.511,0.98,us
Januari,42.322,142.6196,108.19,5,mb,5.63,73,0.503,0.56,us
Januari,33.3911,141.0188,35,4.3,mb,5.27706,85,1.046,0.5,us
Januari,38.8916,142.3303,53.6,4.4,mb,5.32064,177,2.131,0.36,us
Januari,30.0949,138.8221,419.23,4.4,mb,5.32064,134,3.127,0.58,us
Januari,37.1622,141.5358,44.15,4.7,mb,5.46506,128,2.739,0.53,us
Januari,30.0573,131.0625,42.2,4.3,mb,5.27706,176,1.539,0.59,us
Januari,42.0854,144.9208,10,4.9,mww,4.9,135,1.315,0.87,us
Januari,40.2859,142.1924,57.99,4.3,mb,5.27706,135,0.995,0.6,us
Januari,36.4439,140.6498,69.24,4.6,mb,5.41464,132,1.969,0.47,us
Januari,34.2981,142.1337,10,4.3,mb,5.27706,136,2.265,0.83,us
Januari,42.7117,141.9609,115.63,5.2,mww,5.2,34,1.127,0.95,us
Januari,37.2237,141.1041,69.5,4.5,mb,5.3665,155,2.418,0.49,us
Januari,42.7883,146.291,42.38,4.6,mb,5.41464,48,2.446,0.62,us
Januari,36.8924,141.5903,39.39,4.3,mb,5.27706,156,2.739,0.99,us
Januari,40.0825,141.6975,69.17,4.6,mb,5.41464,132,0.855,0.94,us
Januari,34.3172,135.8615,383.08,4.1,mb,5.19674,65,1.408,0.79,us
Februari,37.3523,141.8861,34.92,4.6,mb,5.41464,115,1.762,0.81,us
Februari,38.6524,141.934,50.08,4.1,mb,5.19674,140,2.237,0.81,us
Februari,36.6998,140.9122,57.81,4.2,mb,5.23576,135,2.18,0.93,us
Februari,30.0869,138.865,422.97,4.2,mb,5.23576,90,3.122,0.67,us
Februari,35.7378,140.1051,63.84,4.3,mwr,4.3,123,1.737,0.7,us
Februari,42.3125,145.0164,27.95,5,mww,5,80,1.413,0.87,us
Februari,42.2335,144.9664,35,4.1,mb,5.19674,185,1.363,0.7,us
Februari,30.052,131.0214,35,5,mb,5.63,91,1.532,0.53,us
Februari,30.125,130.9762,35,4.4,mb,5.32064,133,1.451,0.9,us
Februari,41.3257,143.544,35,4.8,mb,5.51776,136,0.747,0.59,us
Februari,31.3061,140.7048,64.51,5.3,mww,5.3,28,1.955,0.75,us
Februari,30.0271,131.0762,36.5,4.4,mb,5.32064,135,1.571,0.57,us
Februari,31.3114,140.0506,115.39,4.5,mb,5.3665,103,1.809,0.84,us
Februari,42.7583,143.1313,118.96,4.3,mb,5.27706,124,0.743,0.52,us
Februari,31.3264,138.1265,410.87,4.1,mb,5.19674,88,2.273,0.77,us
Februari,32.685,138.2823,325.88,4.2,mb,5.23576,113,1.334,0.58,us
Februari,30.0411,131.1297,37.21,4.9,mb,5.57274,134,1.575,0.83,us
Februari,30.2551,131.0477,39.01,4.3,mb,5.27706,173,1.35,0.66,us
Februari,33.42,141.1003,48.19,4.4,mb,5.32064,84,1.119,0.86,us
Februari,37.7265,141.7751,43.98,7.1,mww,7.1,11,3.085,0.94,us
Februari,37.5887,141.8453,51.31,4.7,mb,5.46506,137,3.09,1.12,us
Februari,37.6301,141.5051,52.05,4.9,mb,5.57274,185,2.85,0.83,us
Februari,37.6932,141.7615,45.1,5.4,mb,5.88184,46,3.063,1.13,us
Februari,37.7298,141.6813,67.88,4.4,mb,5.32064,188,3.017,1.03,us
Februari,37.7736,141.6683,68.91,4.3,mb,5.27706,142,3.024,0.79,us
Februari,37.7217,141.7359,57.2,4.5,mb,5.3665,142,3.054,0.83,us
Februari,39.0864,142.5717,40.34,5.2,mb,5.75136,49,2.058,1.13,us
Februari,37.5705,141.9581,59.65,4.6,mb,5.41464,136,3.169,0.56,us
Februari,37.6475,141.6251,62.44,4.3,mb,5.27706,79,2.945,0.59,us
Februari,37.4871,141.5323,43.66,5.1,mww,5.1,55,2.822,0.67,us
Februari,37.6254,141.6781,53.2,4.4,mb,5.32064,146,2.977,0.64,us
Februari,37.5961,141.7507,54.56,4.6,mb,5.41464,143,3.021,0.7,us
Februari,37.639,141.6213,57,4.2,mb,5.23576,150,2.939,1.12,us
Februari,34.1472,135.1647,10,4.4,mb,5.32064,77,1.148,0.84,us
Februari,37.7035,141.7326,43.48,4.2,mb,5.23576,140,1.919,0.5,us
Februari,37.676,141.5722,62.9,4.4,mb,5.32064,135,1.818,0.4,us
Februari,37.4864,141.5837,35.36,5.3,mwr,5.3,46,1.678,0.6,us
Februari,37.5475,141.3336,30.18,5.4,mww,5.4,40,1.602,0.59,us
Februari,37.9528,140.7831,55.38,4.3,mb,5.27706,181,2.49,1.08,us
Februari,29.9725,131.1367,24.1,4.9,mb,5.57274,138,1.641,0.55,us
Februari,38.3386,141.9324,41.44,4.6,mb,5.41464,130,2.537,0.94,us
Februari,37.6339,141.6242,52.12,4.6,mb,5.41464,117,1.811,0.58,us
Februari,35.1237,137.2372,43.82,4.2,mb,5.23576,90,0.282,0.66,us
Februari,37.7686,141.6103,58.15,4.5,mb,5.3665,135,2.98,0.48,us
Februari,42.0186,142.5205,69.05,4.1,mb,5.19674,123,0.474,0.37,us
Februari,40.8178,142.0999,55.62,4.2,mb,5.23576,134,0.786,0.6,us
Februari,37.5557,141.784,50.43,4.3,mb,5.27706,159,3.033,0.96,us
Februari,37.5982,141.5928,62.83,4.3,mb,5.27706,136,2.904,0.88,us
Februari,37.6557,141.7382,49.09,4.8,mb,5.51776,91,3.034,1.21,us
Februari,40.2022,141.275,10,4.8,mb,5.51776,144,0.608,0.49,us
Februari,40.7273,142.7148,32.27,5,mww,5,117,1.255,0.88,us
Februari,37.6469,141.6624,52.89,4.5,mb,5.3665,135,2.973,0.92,us
Februari,37.3713,141.4066,51.14,4.5,mb,5.3665,110,1.499,0.99,us
Februari,38.3681,141.7812,66.26,4.3,mb,5.27706,217,2.48,0.47,us
Februari,34.0842,141.376,10,4.5,mb,5.3665,143,1.622,0.81,us
Februari,43.144,145.7044,63.74,4.4,mb,5.32064,166,2.193,0.68,us
Februari,37.5869,141.6054,42.26,4.4,mb,5.32064,129,2.91,1.21,us
Februari,37.5961,141.6489,56.65,4.6,mb,5.41464,139,2.945,0.88,us
Februari,37.5967,141.677,51.46,4.4,mb,5.32064,78,1.81,0.69,us
Februari,41.0534,142.0645,64.15,4.6,mb,5.41464,117,0.802,0.49,us
Februari,33.3454,141.7357,14.56,4.4,mb,5.32064,143,1.627,0.45,us
Februari,37.3334,141.2909,66.85,4.6,mb,5.41464,139,2.592,0.85,us
Februari,37.7161,141.9713,52.5,4.6,mwr,4.6,98,3.148,1.15,us
Februari,30.1656,131.1,30.18,5.1,mb,5.68954,79,1.45,0.59,us
Februari,30.0044,131.4782,24.92,4.6,mb,5.41464,123,1.74,0.6,us
