time,latitude,longitude,depth,mag,magType,Magnitude,gap,dmin,rms,net
2021-10-21T08:36:47.362Z,32.1004,138.2208,335.52,5.5,mww,5.5,30,1.682,0.87,us
2021-10-19T22:10:47.878Z,41.5049,143.0525,36.35,4.5,mb,5.3665,120,0.515,1.12,us
2021-10-19T15:18:19.509Z,41.6475,142.7875,51.73,4.5,mb,5.3665,63,0.459,0.78,us
2021-10-19T12:44:47.900Z,41.4511,142.9168,41.17,4.3,mb,5.27706,134,0.591,0.51,us
2021-10-19T12:36:39.360Z,41.5451,142.8623,44.38,5.1,mww,5.1,97,0.518,0.76,us
2021-10-18T02:01:23.240Z,38.2759,141.5402,71.21,4.6,mb,5.41464,130,2.537,0.8,us
2021-10-17T15:49:31.360Z,40.9682,142.1452,67.87,4.8,mb,5.51776,110,0.838,0.41,us
2021-10-17T02:32:06.430Z,29.4073,130.7267,20.69,5.1,mb,5.68954,126,2.108,0.78,us
2021-10-13T17:00:49.084Z,32.4545,133.1539,12.63,4.6,mb,5.41464,98,1.41,0.88,us
2021-10-13T04:58:35.007Z,30.6667,138.6685,386.29,4.1,mb,5.19674,136,2.628,0.67,us
2021-10-12T11:30:36.759Z,39.564,142.5149,35,4.1,mb,5.19674,178,1.653,0.33,us
2021-10-12T03:19:00.492Z,30.0983,142.8481,10,5.2,mb,5.75136,47,3.968,0.85,us
2021-10-10T14:16:15.940Z,42.3455,143.0753,61.69,4.9,mb,5.57274,111,0.335,0.49,us
2021-10-09T05:31:59.595Z,40.0765,142.2057,52.66,5,mb,5.63,72,1.125,0.72,us
2021-10-09T02:47:34.421Z,42.4005,141.9753,92.66,4.6,mb,5.41464,75,0.958,0.57,us
2021-10-09T02:16:19.389Z,35.5564,140.1705,73.39,4.3,mb,5.27706,214,1.869,0.48,us
2021-10-08T01:25:08.514Z,29.6733,142.2134,10,4.4,mb,5.32064,166,3.997,0.74,us
2021-10-07T20:11:50.299Z,35.5528,140.1119,69.52,4.4,mb,5.32064,148,1.806,0.92,us
2021-10-07T16:44:22.445Z,31.8288,137.9307,377.87,4.1,mb,5.19674,134,2.044,0.37,us
2021-10-07T13:41:24.549Z,35.5771,140.0698,62,5.9,mww,5.9,29,1.788,1.12,us
2021-10-06T08:12:55.045Z,31.2593,131.471,35,5.9,mww,5.9,38,0.905,1.36,us
2021-10-05T22:33:41.000Z,40.1318,142.1822,56.89,4.4,mb,5.32064,185,1.076,0.57,us
2021-10-05T17:46:02.054Z,40.076,142.2531,44.77,5.7,mww,5.7,15,1.153,0.86,us
2021-10-05T14:22:01.845Z,40.3277,143.9091,10,4.4,mb,5.32064,137,1.778,0.85,us
2021-10-05T09:32:50.905Z,39.2062,144.297,10,4.1,mb,5.19674,132,2.936,0.38,us
2021-10-04T21:06:32.940Z,38.1597,142.0234,45.5,4.5,mb,5.3665,116,2.729,1.16,us
2021-10-03T08:49:38.554Z,34.3564,141.6277,10,4.6,mb,5.41464,134,1.953,0.48,us
2021-10-03T02:10:58.810Z,37.4618,137.1153,10,4.4,mb,5.32064,89,1.263,0.86,us
2021-10-02T16:17:15.977Z,29.3928,142.6016,10,4.4,mb,5.32064,112,2.318,1.03,us
2021-10-01T07:14:30.711Z,42.362,144.5444,71.32,4.1,mb,5.19674,170,1.087,0.84,us
2021-09-30T20:26:45.741Z,29.7505,142.0194,10,4.2,mb,5.23576,281,7.036,0.42,us
2021-09-30T08:45:31.183Z,38.5137,141.9969,67.62,4.6,mb,5.41464,126,2.384,0.57,us
2021-09-30T07:43:35.827Z,31.8713,141.3069,29.42,4.2,mb,5.23576,170,15.682,0.47,us
2021-09-30T03:52:24.728Z,41.0094,142.1415,53.04,4.4,mb,5.32064,133,0.845,0.7,us
2021-09-29T08:37:05.613Z,38.8937,135.4444,364,6.1,mww,6.1,13,3.206,0.82,us
2021-09-29T03:26:42.682Z,36.4576,140.6943,57.6,4.5,mb,5.3665,128,2.008,0.31,us
2021-09-27T15:30:39.142Z,38.1263,141.9171,57.48,4.3,mb,5.27706,143,2.74,0.55,us
2021-09-27T11:26:38.445Z,36.7082,141.1596,51.68,4.6,mwr,4.6,120,2.379,0.48,us
2021-09-27T10:58:49.791Z,38.5989,142.0474,59.21,4.6,mb,5.41464,142,2.315,1.03,us
2021-09-26T21:57:26.770Z,29.6271,139.1557,424.15,4.5,mb,5.3665,104,3.522,0.49,us
2021-09-25T21:46:37.948Z,30.6821,131.2671,38.37,4.5,mb,5.3665,126,3.759,0.73,us
2021-09-25T17:01:43.188Z,29.0401,141.7576,34.98,4.6,mb,5.41464,97,1.973,0.79,us
2021-09-24T16:40:15.295Z,29.7072,138.8884,414.21,4.3,mb,5.27706,61,3.488,0.93,us
2021-09-24T04:44:15.824Z,38.1509,141.8037,62.51,4.5,mb,5.3665,162,2.696,0.51,us
2021-09-21T10:19:56.265Z,29.6532,142.3847,10,5.2,mww,5.2,64,2.554,0.46,us
2021-09-19T16:11:51.710Z,37.5858,142.1042,35,4.4,mb,5.32064,98,3.285,0.5,us
2021-09-19T10:04:17.724Z,36.276,137.6419,6.46,4.2,mb,5.23576,91,0.527,0.51,us
2021-09-19T08:18:32.645Z,36.2633,137.7364,10,5.1,mww,5.1,119,0.47,0.68,us
2021-09-18T23:07:51.007Z,36.4505,140.493,72.26,4.4,mb,5.32064,145,1.842,0.69,us
2021-09-18T20:42:37.583Z,34.2715,141.1012,10,4.6,mb,5.41464,183,1.575,0.61,us
2021-09-17T20:21:07.813Z,38.1671,141.7744,45.53,4.4,mb,5.32064,136,2.675,1.2,us
2021-09-17T03:16:11.342Z,37.7637,141.6016,47.97,4.5,mb,5.3665,121,2.972,0.83,us
2021-09-16T09:42:29.519Z,37.457,137.2513,10,4.9,mwr,4.9,52,1.186,0.85,us
2021-09-16T04:08:29.148Z,38.5782,142.355,35,4.6,mb,5.41464,142,2.422,0.8,us
2021-09-15T13:47:33.527Z,30.4392,140.19,10,4.7,mb,5.46506,94,2.687,0.51,us
2021-09-15T02:09:43.385Z,35.0744,140.7817,81.76,4.4,mb,5.32064,137,2.112,0.54,us
2021-09-13T22:46:06.357Z,32.4784,137.8572,370,5.8,mww,5.8,18,1.743,0.9,us
2021-09-13T04:59:47.301Z,39.3386,142.5974,49.34,4.9,mb,5.57274,141,1.866,0.75,us
2021-09-12T21:31:08.050Z,34.8195,139.9499,57.26,4.2,mb,5.23576,130,0.571,0.68,us
2021-09-12T16:36:10.229Z,37.8372,141.9857,42.47,4.4,mb,5.32064,129,3.033,0.64,us
2021-09-12T05:32:02.802Z,29.8833,139.0553,431.72,4.7,mb,5.46506,75,3.286,0.55,us
2021-09-12T02:17:04.596Z,33.0546,132.0425,49.05,4.5,mb,5.3665,84,1.676,1.01,us
2021-09-11T11:00:10.606Z,38.7574,144.2236,10,4.4,mb,5.32064,131,3.169,0.74,us
2021-09-11T02:12:02.449Z,41.1445,143.1013,38.37,4.2,mb,5.23576,151,0.87,0.89,us
2021-09-10T13:42:47.504Z,40.9779,142.5441,55.74,4.2,mb,5.23576,151,1.133,0.53,us
2021-09-10T02:10:24.732Z,31.0311,139.6106,151.6,4.3,mb,5.27706,100,2.085,0.89,us
2021-09-09T20:49:26.204Z,42.7934,143.4135,101.08,4.2,mb,5.23576,156,0.8,0.89,us
2021-09-09T04:11:49.839Z,29.353,142.1801,10,5.4,mww,5.4,46,2.248,0.54,us
2021-09-08T22:16:55.893Z,37.1179,141.5455,7.34,4.2,mb,5.23576,205,2.738,0.69,us
2021-09-08T15:49:48.549Z,33.4062,141.1856,32.02,4.6,mb,5.41464,100,1.185,1.01,us
2021-09-08T02:31:57.426Z,30.6161,141.912,14.12,4.6,mb,5.41464,131,3.065,0.59,us
2021-09-07T18:41:23.076Z,39.1866,141.8615,74.52,4.5,mb,5.3665,139,1.714,0.39,us
2021-09-07T13:25:10.499Z,35.3614,141.3875,35,4.5,mb,5.3665,100,2.592,0.24,us
2021-09-06T20:59:21.975Z,31.1673,131.4674,45.94,4.6,mb,5.41464,102,0.932,0.95,us
2021-09-06T14:50:02.419Z,42.697,145.0948,49.73,4.7,mb,5.46506,122,1.589,0.8,us
2021-09-06T01:22:11.860Z,38.0576,144.7289,10,4.4,mb,5.32064,136,3.936,0.85,us
