time,,,Magnitude,depth,LogE,E,Latitude,Longitude
2021-02-13T14:36:42.429Z,,,5.46506,51.31,19.99759,9.94466E+19,37.5887,141.8453
2021-02-13T14:51:05.324Z,,,5.57274,52.05,20.15911,1.44248E+20,37.6301,141.5051
2021-02-13T14:51:41.261Z,,,5.88184,45.1,20.62276,4.19527E+20,37.6932,141.7615
2021-02-13T14:58:43.988Z,,,5.32064,67.88,19.78096,6.03893E+19,37.7298,141.6813
2021-02-13T16:14:43.246Z,,,5.27706,68.91,19.71559,5.19505E+19,37.7736,141.6683
2021-02-13T16:32:58.823Z,,,5.3665,57.2,19.84975,7.07538E+19,37.7217,141.7359
2021-02-14T05:11:22.106Z,,,5.41464,59.65,19.92196,8.35526E+19,37.5705,141.9581
2021-02-14T05:53:54.095Z,,,5.27706,62.44,19.71559,5.19505E+19,37.6475,141.6251
2021-02-14T07:31:49.636Z,,,5.1,43.66,19.45,2.81838E+19,37.4871,141.5323
2021-02-14T07:59:23.201Z,,,5.32064,53.2,19.78096,6.03893E+19,37.6254,141.6781
2021-02-14T09:26:59.263Z,,,5.41464,54.56,19.92196,8.35526E+19,37.5961,141.7507
2021-02-14T10:41:00.412Z,,,5.23576,57,19.65364,4.50443E+19,37.639,141.6213
2021-02-15T11:27:18.743Z,,,5.23576,43.48,19.65364,4.50443E+19,37.7035,141.7326
2021-02-15T11:59:52.996Z,,,5.32064,62.9,19.78096,6.03893E+19,37.676,141.5722
2021-02-15T12:26:03.969Z,,,5.3,35.36,19.75,5.62341E+19,37.4864,141.5837
2021-02-15T12:26:17.164Z,,,5.4,30.18,19.9,7.94328E+19,37.5475,141.3336
2021-02-17T14:06:18.399Z,,,5.41464,52.12,19.92196,8.35526E+19,37.6339,141.6242
2021-02-18T06:02:43.005Z,,,5.3665,58.15,19.84975,7.07538E+19,37.7686,141.6103
2021-02-18T12:43:00.508Z,,,5.27706,62.83,19.71559,5.19505E+19,37.5982,141.5928
2021-02-19T01:07:11.219Z,,,5.51776,49.09,20.07664,1.193E+20,37.6557,141.7382
2021-02-19T19:01:06.453Z,,,5.3665,52.89,19.84975,7.07538E+19,37.6469,141.6624
2021-02-19T23:53:53.099Z,,,5.3665,51.14,19.84975,7.07538E+19,37.3713,141.4066
2021-02-22T21:22:35.775Z,,,5.32064,42.26,19.78096,6.03893E+19,37.5869,141.6054
2021-02-26T04:04:24.748Z,,,5.41464,56.65,19.92196,8.35526E+19,37.5961,141.6489
2021-02-26T10:18:29.863Z,,,5.32064,51.46,19.78096,6.03893E+19,37.5967,141.677
2021-02-26T15:33:28.071Z,,,5.41464,66.85,19.92196,8.35526E+19,37.3334,141.2909
2021-02-26T17:03:48.931Z,,,4.6,52.5,18.7,5.01187E+18,37.7161,141.9713
2021-03-01T06:07:52.582Z,,,5.3665,51.87,19.84975,7.07538E+19,37.4863,141.9702
2021-03-02T09:48:58.556Z,,,5.27706,55.95,19.71559,5.19505E+19,37.556,141.8261
2021-03-07T12:44:28.043Z,,,5.23576,63.32,19.65364,4.50443E+19,37.6188,141.5923
2021-03-08T14:36:06.067Z,,,5.41464,55.46,19.92196,8.35526E+19,37.7704,141.6617
2021-03-17T08:28:48.740Z,,,5,45.92,19.3,1.99526E+19,37.6781,141.6127
2021-03-20T21:56:36.208Z,,,5.46506,54.53,19.99759,9.94466E+19,37.6046,141.8953
2021-04-02T16:36:30.112Z,,,5.23576,51.65,19.65364,4.50443E+19,37.6834,141.9822
2021-04-19T18:10:17.998Z,,,5.27706,67.51,19.71559,5.19505E+19,37.671,141.6793
2021-04-23T05:12:23.842Z,,,5.27706,66.57,19.71559,5.19505E+19,37.2918,140.9047
2021-04-29T12:47:40.049Z,,,5.19674,35.71,19.59511,3.9365E+19,36.9072,144.068
2021-05-04T18:10:43.134Z,,,5,9.5,19.3,1.99526E+19,37.1861,141.8522
2021-05-13T23:58:14.041Z,,,6,32,20.8,6.30957E+20,37.7169,141.8167
2021-05-16T06:41:10.574Z,,,5.3665,48.24,19.84975,7.07538E+19,37.6349,141.6153
2021-05-19T11:54:32.589Z,,,5.32064,51.6,19.78096,6.03893E+19,37.6654,141.907
2021-05-23T09:15:57.661Z,,,5.32064,53,19.78096,6.03893E+19,37.7233,141.9089
2021-05-24T16:19:19.697Z,,,5.32064,51.7,19.78096,6.03893E+19,37.6493,141.8087
